clean,created_at,extended_tweet.full_text,id,text
i can still express it 😌,Sun Mar 21 18:34:33 +0000 2021,,1.37E+18,@COAC94s i can still express it 😌
good afternoon thinking about carisi talking to amanda’s stomach when she is pregnant with his twins 😌,Sun Mar 21 18:34:34 +0000 2021,,1.37E+18,RT @babyshowbizz: good afternoon thinking about carisi talking to amanda’s stomach when she’s pregnant with his twins 😌
Healing time 😌  #JIMIN   ,Sun Mar 21 18:34:35 +0000 2021,,1.37E+18,"RT @jiminsmilepics: Healing time 😌

#JIMIN 
@BTS_twt https://t.co/h071t1gmz9"
Last week on console 😌,Sun Mar 21 18:34:35 +0000 2021,,1.37E+18,Last week on console 😌
After five years of living here I am finding an appreciation for cold rainy Seattle days 😌,Sun Mar 21 18:34:38 +0000 2021,,1.37E+18,After five years of living here I’m finding an appreciation for cold rainy Seattle days 😌
slep 😌,Sun Mar 21 18:34:39 +0000 2021,,1.37E+18,sleeeeep 😌
omg ur finally outside 😌,Sun Mar 21 18:34:39 +0000 2021,,1.37E+18,@emergencily omg ur finally outside 😌
rosa and balder do be a cute couple tho 😌 i wish we saw more of them because they look so cute together like i literally c…,Sun Mar 21 18:34:41 +0000 2021,,1.37E+18,RT @riicemochii: rosa and balder do be a cute couple tho 😌 i wish we saw more of them because they look so cute together like i literally c…
"seongi, if your decision is already final, then wonie is mine now 😌",Sun Mar 21 18:34:41 +0000 2021,,1.37E+18,"@2JH00NIE seongi, if your decision is already final, then wonie is mine now 😌"
"I said Chris Hayes was going to get people killed, at the time 😌 He ignored me",Sun Mar 21 18:34:41 +0000 2021,,1.37E+18,"RT @NoTotally: I said Chris Hayes was gonna get people killed, at the time 😌 He ignored me"
the correct choice 😌 /lh,Sun Mar 21 18:34:43 +0000 2021,,1.37E+18,@whorezieks the correct choice 😌 /lh
OH MY GOD🥺😭,Sun Mar 21 18:34:46 +0000 2021,,1.37E+18,OH MY GOD🥺😭
my face has no business being so pretty 😌,Sun Mar 21 18:34:46 +0000 2021,,1.37E+18,RT @marissardzz: my face has no business being so pretty 😌
Boyfriend 😌,Sun Mar 21 18:34:47 +0000 2021,,1.37E+18,@duh_smh @24k_aspect Boyfriend 😌
Big Sunday! And I ordering KFC 😌,Sun Mar 21 18:34:47 +0000 2021,,1.37E+18,Big Sunday! And I ordering KFC 😌
